product_family,product_name,product_price,product_brand,product_link
Dremel,ESPÁTULA RÍGIDA,6580,Dremel,https://herramientas.cl/ficha/595991/espatula-rigida
Dremel,Rotomartillo Sds Plus Total TH110286 1050W,79210,Total,https://herramientas.cl/ficha/614548/rotomartillo-sds-plus-total-th110286-1050w
Dremel,Sierra Caladora Total TS206806 650 W,46260,Total,https://herramientas.cl/ficha/614578/sierra-caladora-total-ts206806-650-w
Dremel,Rotomartillo Total TH308268 26mm 800W,71920,Total,https://herramientas.cl/ficha/614547/rotomartillo-total-th308268-26mm-800w
Dremel,Dremel Lite Inalámbrico,85900,Dremel,https://herramientas.cl/ficha/614687/dremel-lite-inalambrico
Dremel,Dremel 3.000 Dremel F0133000PK 1/26 ACC,44990,Dremel,https://herramientas.cl/ficha/576032/dremel-3000-dremel-f0133000pk-126-acc
Dremel,Dremel 4000 Dremel F0134000NC 3/36 Accesorios,74250,Dremel,https://herramientas.cl/ficha/610341/dremel-4000-dremel-f0134000nc-336-accesorios
Dremel,Multiherramienta Inalámbrica Dremel 8100 30000 rpm,46900,Dremel,https://herramientas.cl/ficha/576014/multiherramienta-inalambrica-dremel-8100-30000-rpm
Dremel,Dremel Dremel F0133000PT 30 Accesorios,58770,Dremel,https://herramientas.cl/ficha/575982/dremel-dremel-f0133000pt-30-accesorios
Dremel,Sierra de Calar Dremel MS20 1.10 Kg,89900,Dremel,https://herramientas.cl/ficha/576027/sierra-de-calar-dremel-ms20-110-kg
Dremel,"Antorcha de Butano Versaflame Dremel F0132200AA 0,75 Kg",43110,Dremel,https://herramientas.cl/ficha/576030/antorcha-de-butano-versaflame-dremel-f0132200aa-075-kg
Dremel,Versatip Dremel F0132000AA Temperatura 1200º,38340,Dremel,https://herramientas.cl/ficha/576031/versatip-dremel-f0132000aa-temperatura-1200
Estacionarias,Tronzadora perfiles Milwaukee 6177-59 14,191640,Milwaukee,https://herramientas.cl/ficha/578873/tronzadora-perfiles-milwaukee-6177-59-14
